datetime,shipid,lon,lat,heading,course,speed,shiptype,destination
2020-03-01T09:46:30Z,d467aaae-69f0-4c51-a743-7563e6c5839f,23.556766666666665,37.9603,198,340,0,52,PIRAEUS
2020-03-01T04:37:44Z,bc9adc24-0fb4-4cbd-b5a4-5f7b3b500252,23.68154,37.92964166666666,32,,,37,
2020-02-29T22:13:24Z,63bf1d30-866e-44d2-80f8-429a351f812d,23.54843,37.951235,,82,0,52,SALAMIMA
2020-03-01T18:35:20Z,47df59b5-6fcf-468c-aeca-266ec7dc27ae,23.606811666666665,37.953808333333335,125,40.3,0,52,PERAMA
2020-03-01T16:54:34Z,a295a927-6562-4188-885b-31f86cda126d,23.68388,37.92861333333334,,219.7,0,90,AEGEAN SEA
2020-03-01T09:47:45Z,2e107f6c-ffa5-4142-8b47-27d184b0e2cd,23.554288333333332,37.87966333333333,224,8.5,0.1,70,PIRAEUS
2020-03-01T00:58:59Z,bd0c62e2-3510-4abc-bfd2-b01b3dda2057,23.599535,37.94913333333333,,0,0,52,PIRAEUS
2020-03-01T04:26:24Z,1b47b82f-cebf-4ea8-91a9-f890ecf30f1c,23.6038,37.95655,,294,0,52,PIREUS 
2020-03-01T07:29:02Z,8b998a42-caba-4baa-81e2-2318f290906e,23.668619999999997,37.93886,296,0.1,0,37,AEGEAN SEA
2020-03-01T16:03:23Z,f684ee0d-4ef2-406b-85fe-4bca34acedb1,23.68016833333333,37.93163666666667,,225.3,0,37,MYKONOS
2020-03-01T19:39:55Z,1b47b82f-cebf-4ea8-91a9-f890ecf30f1c,23.6038,37.956583333333334,,305,0,52,PIREUS 
2020-03-01T17:37:39Z,2861d638-035e-4ff5-ad81-840c0a9691c0,23.530633333333334,37.96576666666667,,,0,71,SALAMINA
2020-03-01T21:30:24Z,1c46a91b-90ac-4a5e-85bc-461e446ea042,23.682705,37.93090333333334,212,16.9,0,60,ARG/KOS
2020-03-01T18:17:54Z,f83fe978-74b9-40c2-a141-08b0abee8a2c,23.66825,37.93809666666667,297,294.1,0,37,ATHENS MARINA
2020-03-01T07:56:12Z,f684ee0d-4ef2-406b-85fe-4bca34acedb1,23.680141666666668,37.931686666666664,,244.3,0,37,MYKONOS
2020-03-01T01:28:07Z,a384dea1-14a5-4a11-bc1b-6a59f49e42ec,23.569086666666667,37.954370000000004,157,252,0,80,PIRAEUS
2020-03-01T07:02:47Z,d96afda8-0c78-4316-9ffa-c0d6940c8d8b,23.554516666666665,37.92550000000001,14,8.8,0.1,80,PERIOXI
2020-03-01T20:47:37Z,d96afda8-0c78-4316-9ffa-c0d6940c8d8b,23.555351666666663,37.92648666666666,224,21.6,0.1,80,PERIOXI
2020-03-01T02:15:07Z,c671bcf6-2fa2-4e2f-b536-1995122de063,23.641383333333334,37.94793333333334,179,38,0,60,SIR TIN MYK
2020-03-01T16:25:52Z,5c144cb0-0fb9-4d18-a7ec-19e133ac00fe,23.685473333333334,37.938845,,182.9,0,36,
2020-03-01T19:02:24Z,6355d97e-0c5e-4ff0-95d7-02c7061677c5,23.566488333333332,37.96093833333334,184,189,0,37,PERAMA
2020-03-01T16:23:03Z,f684ee0d-4ef2-406b-85fe-4bca34acedb1,23.680133333333334,37.93165166666667,,270.4,0,37,MYKONOS
2020-03-01T09:27:22Z,df0fd6f7-2a46-4ff3-a2b3-278b5019f298,23.668621666666663,37.939771666666665,,,0,36,
2020-03-01T15:57:07Z,d96afda8-0c78-4316-9ffa-c0d6940c8d8b,23.5549,37.926966666666665,200,8.3,0,80,PERIOXI
2020-03-01T17:14:12Z,76a65cfe-d39e-4683-b6ac-07803c1a97cb,23.618546666666667,37.928700000000006,158,159.8,13.8,60,-PIRAEUS
2020-03-01T13:01:48Z,a384dea1-14a5-4a11-bc1b-6a59f49e42ec,23.569178333333333,37.95582666666667,282,112,0,80,PIRAEUS
2020-03-01T12:24:06Z,7e1e5bcf-f706-45b0-bc32-8d0326fde115,23.59097166666667,37.95177,,0,0,52,ORDERS
2020-03-01T18:42:30Z,947225f9-53b7-490a-a20c-ebaae7f0e379,23.68185833333333,37.93277833333333,,15.5,0,37,
2020-03-01T20:33:28Z,7f5c8994-30f4-4c69-8f54-4ae65a004ca9,23.609135,37.95549166666667,,121.4,0,52,PIRAEUS
2020-03-01T20:33:20Z,7206f530-1468-44f9-a32a-27639e2cedd1,23.526686666666667,37.86353,253,168.9,0.1,70,GIBRALTAR 
2020-03-01T04:25:47Z,8a28060e-8c2b-4cc8-92db-8df4e244685e,23.550508333333333,37.955088333333336,9,61.5,0,90,
2020-03-01T03:46:04Z,076431cc-5ae5-4a0f-a46c-726b56443ca5,23.683816666666665,37.92876666666667,23,248.2,0,37,PROVA
2020-03-01T18:20:38Z,7f729721-0666-4e2b-81d6-7670709252f3,23.647311666666667,37.932559999999995,146,134.8,0,37,
2020-03-01T16:36:27Z,a384dea1-14a5-4a11-bc1b-6a59f49e42ec,23.569158333333334,37.955754999999996,278,75,0,80,PIRAEUS
2020-03-01T05:33:53Z,1fe00389-be92-4281-bc0e-7d8e2fb7fe06,23.603926666666666,37.956289999999996,,95.5,0,0,PIREUS
2020-03-01T20:42:20Z,b7411b85-c043-4f65-8cf8-a1ea4d40872e,23.684081666666668,37.932255000000005,,,0,37,
2020-03-01T02:02:44Z,1fe00389-be92-4281-bc0e-7d8e2fb7fe06,23.605596666666667,37.956361666666666,,112,0,0,PIREUS
2020-03-01T04:10:21Z,8b998a42-caba-4baa-81e2-2318f290906e,23.668616666666665,37.93884333333333,296,0.1,0,37,AEGEAN SEA
2020-03-01T09:14:05Z,2e107f6c-ffa5-4142-8b47-27d184b0e2cd,23.55427166666667,37.879785,208,80.1,0.1,70,PIRAEUS
2020-03-01T02:13:14Z,6c9c58fc-a582-485d-9583-a46365e8bda7,23.547,37.86666666666667,,,0,80,KERATSINI      
2020-03-01T21:54:33Z,86dbf2ec-a3df-462a-9343-7e78adbd43da,23.6044,37.94998833333333,,0,0,62,PIRAEUS
2020-03-01T16:31:20Z,47df59b5-6fcf-468c-aeca-266ec7dc27ae,23.557776666666665,38.00246833333333,236,237.2,10.2,52,PERAMA
2020-03-01T03:40:24Z,6355d97e-0c5e-4ff0-95d7-02c7061677c5,23.566521666666667,37.960945,185,336.6,0,37,PERAMA
2020-03-01T19:04:55Z,8e1f8a76-edde-4b96-92f6-95def88d4d93,23.590991666666664,37.92390833333333,51,15.5,0.1,70,GR SKG > GR PIR
2020-03-01T02:16:13Z,b32dfbd3-6feb-4620-8aab-fa84e7a1806c,23.548268333333333,37.951195,,0,0,52,KAFIREAS.CABLE GUARD
2020-03-01T14:26:03Z,ea507c6e-5719-4a2a-a2db-a957af74a127,23.60688,37.95547833333333,18,350.9,0,80,PIRAEUS
2020-03-01T13:54:34Z,fb3b899a-5a70-4542-8527-682dffa485c9,23.67016,37.940664999999996,,,0.5,37,
2020-03-01T01:54:55Z,18ee54dc-c4e0-4c52-ba37-9cb4b70cbf7f,23.682413333333333,37.931889999999996,,0,0,37,FLISVOS
2020-03-01T08:32:21Z,fde3110a-d1bc-4f8f-b670-09fa5b1430d2,23.579549999999998,37.943866666666665,,100.4,2.3,52,PIRAEUS
2020-03-01T00:38:43Z,6c9c58fc-a582-485d-9583-a46365e8bda7,23.547166666666666,37.866499999999995,,,0,80,KERATSINI      
2020-03-01T18:08:45Z,6355d97e-0c5e-4ff0-95d7-02c7061677c5,23.566603333333333,37.96098833333333,185,189,0,37,PERAMA
2020-03-01T19:56:59Z,9f69c6d8-4589-4a73-b6ec-340bc7f21589,23.588716666666667,37.95555,348,280.6,0,70,LY MRA
2020-03-01T04:28:25Z,1c46a91b-90ac-4a5e-85bc-461e446ea042,23.682713333333332,37.930933333333336,212,16.9,0,60,ARG/KOS
2020-03-01T02:05:42Z,50ee2bf4-a35b-459b-86ce-a687f5d0085e,23.66885166666667,37.93901666666667,,320.4,0,37,PIRAEUS
2020-03-01T08:26:53Z,f83fe978-74b9-40c2-a141-08b0abee8a2c,23.668263333333336,37.938175,297,294.1,0,37,ATHENS MARINA
2020-03-01T00:24:57Z,c95556fb-dd75-4b6a-9e47-0f9bd7cfb71c,23.555666666666664,37.959783333333334,,0,0,60,GR PIRAEUS
2020-03-01T12:19:19Z,9bde5bb6-7bc3-4b6a-8918-e0523493f4e1,23.683176666666668,37.930805,,342.6,0,37,FLISVOS MARINA
2020-03-01T09:02:47Z,c95556fb-dd75-4b6a-9e47-0f9bd7cfb71c,23.555643333333332,37.95979,,0,0,60,GR PIRAEUS
2020-03-01T09:39:48Z,64534cdf-15d9-4b16-99f2-b9d8de5afb6e,23.65035333333333,37.93173,329,127,0.1,37,TREZONIA
2020-03-01T11:13:27Z,d96afda8-0c78-4316-9ffa-c0d6940c8d8b,23.554501666666667,37.926966666666665,159,127.4,0,80,PERIOXI
2020-03-01T14:53:13Z,63288989-fa11-47b8-a2f0-c3b215b15ead,23.635083333333334,37.943596666666664,217,348.7,0,69,PIRAEUS
2020-03-01T19:49:23Z,a25793b6-45c2-4b9f-8886-8223f54da7a1,23.594693333333332,37.95840833333333,,,0.1,52,KERATSINI  
2020-03-01T19:11:05Z,2df9bed1-7474-4327-96e5-41d770d44220,23.614913333333334,37.94481,,8.8,0,80,
2020-03-01T01:24:07Z,c671bcf6-2fa2-4e2f-b536-1995122de063,23.641366666666666,37.9479,179,38,0,60,SIR TIN MYK
2020-03-01T05:54:00Z,642d0bd7-519c-42d5-a294-215d889da3d1,23.547638333333335,37.91319,336,213.3,0.1,80,PERIOCHI
2020-03-01T05:15:44Z,85acb58c-b7fc-4b6c-8665-26716e90b456,23.681778333333334,37.932925,249,234,0.1,37,FLOISVOS
2020-03-01T05:44:11Z,8b998a42-caba-4baa-81e2-2318f290906e,23.668619999999997,37.938853333333334,297,0.1,0,37,AEGEAN SEA
2020-03-01T03:57:47Z,7e1e5bcf-f706-45b0-bc32-8d0326fde115,23.58791666666667,37.95249,,162,1.3,52,ORDERS
2020-03-01T18:42:18Z,9a048f4c-915b-4e05-9c5b-2eede62b74ac,23.59443,37.9516,,281.9,0,52,GR PIR
2020-03-01T19:16:29Z,fb3b899a-5a70-4542-8527-682dffa485c9,23.67026,37.940725,,,0.7,37,
2020-03-01T06:14:25Z,e304b05f-1f6b-4a88-86f1-2ff8fd7fbcbb,23.564283333333332,37.874633333333335,,214.3,33.4,40,ARGOSARONIKOS
2020-03-01T00:26:07Z,8a28060e-8c2b-4cc8-92db-8df4e244685e,23.550526666666666,37.9551,9,61.5,0,90,
2020-03-01T16:01:35Z,18ee54dc-c4e0-4c52-ba37-9cb4b70cbf7f,23.68241,37.931913333333334,,0,0,37,FLISVOS
2020-03-01T02:22:57Z,c671bcf6-2fa2-4e2f-b536-1995122de063,23.641399999999997,37.9479,179,38,0,60,SIR TIN MYK
2020-03-01T15:27:02Z,fb3b899a-5a70-4542-8527-682dffa485c9,23.670153333333335,37.94067,,,0.6,0,
2020-03-01T02:14:07Z,d96afda8-0c78-4316-9ffa-c0d6940c8d8b,23.555266666666668,37.92551666666667,327,345.9,0,80,PERIOXI
2020-03-01T15:36:27Z,0b0d795d-f3d2-499d-b734-d4310e3a4c22,23.683,37.931000000000004,210,60,0,37,FLISVOS
2020-03-01T12:49:55Z,c3a54263-5780-4c47-99bd-cd86a1951aa9,23.52991666666667,37.96435666666666,,241.1,4.3,60,PALOUKIA/PERAMA<<
2020-03-01T02:07:39Z,0026f88e-371d-45f2-ae72-557225333f01,23.55598666666667,37.96383,,329.5,0,60,PALOUKIA-PERAMA
2020-03-01T01:05:54Z,6c9c58fc-a582-485d-9583-a46365e8bda7,23.547166666666666,37.866499999999995,,,0,80,KERATSINI      
2020-03-01T03:38:03Z,1c46a91b-90ac-4a5e-85bc-461e446ea042,23.682714999999998,37.93090666666667,212,16.9,0,60,ARG/KOS
2020-03-01T01:05:02Z,df0fd6f7-2a46-4ff3-a2b3-278b5019f298,23.668633333333332,37.93976833333333,,,0,36,
2020-03-01T07:21:50Z,50ee2bf4-a35b-459b-86ce-a687f5d0085e,23.66884,37.93902666666667,,239.8,0,37,PIRAEUS
2020-03-01T11:15:37Z,94751f6e-79e7-48a2-a9a5-e5b609f617c8,23.506645,38.036413333333336,179,170,0,52,ELEFSIS
2020-03-01T11:53:53Z,f684ee0d-4ef2-406b-85fe-4bca34acedb1,23.680145,37.93165,,312.9,0,37,MYKONOS
2020-03-01T06:27:31Z,63288989-fa11-47b8-a2f0-c3b215b15ead,23.635086666666666,37.943585,217,323.9,0,69,PIRAEUS
2020-03-01T13:59:10Z,bc811245-96e5-4e09-8352-99ad2c6bcee6,23.640449999999998,37.946866666666665,260,142,0,60,SR PR NX HR SC KU KT
2020-03-01T04:49:33Z,4294d708-509d-42c6-b1bf-d80f1605bcfd,23.682161666666666,37.92953333333333,27,275.6,0,37,FLISVOS
2020-03-01T16:21:03Z,6355d97e-0c5e-4ff0-95d7-02c7061677c5,23.566506666666665,37.96097666666667,185,352.8,0,37,PERAMA
2020-03-01T01:15:45Z,6067bba7-b0d1-49af-a9e3-6a4010ce68fb,23.537876666666666,37.959831666666666,,275.8,7,60,PAL-PER-PAL
2020-03-01T07:46:53Z,15189c25-f797-4451-98f1-f0a894965073,23.60155,37.950066666666665,354,187,0.1,1,M PIRAES      
2020-02-29T22:03:43Z,5a1a8cba-3d65-4bb4-a142-34cfe1fbc2c2,23.613246666666665,37.947405,,252.6,0,70,DRAPETSONA
2020-03-01T17:21:27Z,bc965f0f-935e-443d-ae1a-6c7267b820a4,23.60927333333333,37.89021833333334,179,179.5,14.4,70,TRDLV
2020-03-01T09:47:23Z,7f5c8994-30f4-4c69-8f54-4ae65a004ca9,23.609146666666668,37.95552833333333,,141.7,0,52,PIRAEUS
2020-03-01T10:58:01Z,420bed91-8df8-4af8-9754-3df1d1c105b0,23.577650000000002,37.86456666666666,36,7,0.8,74,GRPIR
2020-03-01T09:12:22Z,df0fd6f7-2a46-4ff3-a2b3-278b5019f298,23.668615,37.93979,,,0,36,
2020-03-01T05:03:24Z,a295a927-6562-4188-885b-31f86cda126d,23.683888333333336,37.928615,,219.7,0,90,AEGEAN SEA
2020-03-01T07:10:37Z,ab620580-b1ec-4301-887b-ed35c05b9218,23.57137833333333,37.88460666666666,,40.3,14.2,60,PIRAEUS SARONIKOS
2020-03-01T17:50:51Z,50ee2bf4-a35b-459b-86ce-a687f5d0085e,23.66884,37.93901666666667,,293.2,0,37,PIRAEUS
2020-02-29T23:45:55Z,94751f6e-79e7-48a2-a9a5-e5b609f617c8,23.50662,38.03642833333333,181,132,0,52,ELEFSIS
2020-03-01T11:54:32Z,ada3303a-8831-40cd-90de-7aa0bba18146,23.556836666666666,37.958945,,184,4.5,99,PIRAEUS 
2020-03-01T05:40:56Z,89bc8c00-30ac-46f0-a169-9828b59b27c1,23.585896666666667,37.952758333333335,,,0,52,PERAMA 
2020-03-01T09:56:04Z,7bd345cf-dc15-40d1-b75e-62707caded36,23.6495,37.93129166666667,,,0,36,
2020-03-01T10:57:28Z,cedbd054-208f-4059-85cf-356e66771ff6,23.54825,37.960683333333336,,261,6.2,60,PALUKIA-PERAMA  
2020-03-01T21:25:58Z,c95556fb-dd75-4b6a-9e47-0f9bd7cfb71c,23.55563833333333,37.95979,,0,0,60,GR PIRAEUS
2020-03-01T06:43:59Z,d467aaae-69f0-4c51-a743-7563e6c5839f,23.613133333333334,37.9587,354,347,0,52,PIRAEUS
2020-03-01T13:56:35Z,cc0a125c-06a4-4fec-8d96-b343c6819398,23.530343333333334,37.965453333333336,,,0,60,SALAMINA  
2020-03-01T08:36:20Z,64534cdf-15d9-4b16-99f2-b9d8de5afb6e,23.65033833333333,37.931725,329,281,0.1,37,TREZONIA
2020-02-29T23:30:12Z,1fe00389-be92-4281-bc0e-7d8e2fb7fe06,23.605574999999998,37.95635666666667,,112,0,0,PIREUS
2020-03-01T11:12:46Z,8e1f8a76-edde-4b96-92f6-95def88d4d93,23.536595,37.860776666666666,149,134.2,0.7,70,GR SKG > GR PIR
2020-03-01T14:25:05Z,fb3b899a-5a70-4542-8527-682dffa485c9,23.670166666666667,37.94055166666667,,,0.6,37,
2020-03-01T17:34:55Z,7f5c8994-30f4-4c69-8f54-4ae65a004ca9,23.605823333333333,37.93604333333334,,348.5,8,52,PIRAEUS
2020-03-01T17:37:48Z,498ee5e9-c8d1-4311-be95-c835a01b286d,23.57175833333333,37.96183666666666,,359.7,0,70,PERAMA
2020-03-01T19:46:06Z,1a04d028-1086-4ed0-ba96-834f85cc8f63,23.530455,37.96559333333333,,,0,60,PALOUKIA >< PERAMA
2020-03-01T02:52:22Z,df0fd6f7-2a46-4ff3-a2b3-278b5019f298,23.668631666666666,37.939769999999996,,,0,36,
2020-03-01T05:18:03Z,7f5c8994-30f4-4c69-8f54-4ae65a004ca9,23.58391,37.949745,,109.5,10.3,52,PIRAEUS
2020-03-01T05:28:53Z,7f5c8994-30f4-4c69-8f54-4ae65a004ca9,23.60915,37.955479999999994,,141.7,0.1,52,PIRAEUS
2020-03-01T08:48:30Z,64534cdf-15d9-4b16-99f2-b9d8de5afb6e,23.650340000000003,37.93174666666666,329,358,0.1,37,TREZONIA
2020-03-01T19:14:49Z,64534cdf-15d9-4b16-99f2-b9d8de5afb6e,23.650355,37.93172166666667,329,194,0.1,37,TREZONIA
2020-03-01T00:27:02Z,54ff427b-8d87-42f6-81cc-c480e4fa9f60,23.647325000000002,37.93690333333333,,,0,0,
2020-03-01T08:57:42Z,5304e459-384c-47b9-b3e9-be1703964724,23.546881666666664,37.8532,256,256.7,5.2,70,PIRAEUS
2020-03-01T01:48:36Z,48c84af5-897a-4fc1-8523-c5e3ab9e363f,23.496571666666668,37.81505333333334,,26,7.8,80,
2020-03-01T16:12:15Z,f2d17168-a5bf-4c58-ae9d-85a2450a20f6,23.68338333333333,37.92888333333334,25,54,0.3,37,ISTANBUL
2020-03-01T06:33:27Z,3a4c702c-a490-445f-97b0-6c6e8c27f7da,23.5679,37.95271666666667,283,284,10,83,GRASS
2020-03-01T10:46:41Z,76d35618-01e8-4287-9c1e-2c75350d13c0,23.574315000000002,37.9612,92,162.3,0,37,PERAMA
2020-03-01T16:54:33Z,75102dfe-5674-49b0-89ed-ec491d679e8c,23.530036666666668,37.965543333333336,,0,0,99,PALOUKIA_PERAMA 
2020-03-01T13:14:13Z,1fe00389-be92-4281-bc0e-7d8e2fb7fe06,23.603905,37.95626333333333,,95.5,0,0,PIREUS
2020-03-01T06:40:40Z,ce516ef8-9605-4e8a-b8c3-0786cd877746,23.537143333333333,37.90240166666667,55,,0,159,GR PER
2020-03-01T04:14:35Z,85acb58c-b7fc-4b6c-8665-26716e90b456,23.681769999999997,37.93291833333333,249,149,0,37,FLOISVOS
2020-03-01T12:37:24Z,c3a54263-5780-4c47-99bd-cd86a1951aa9,23.533453333333334,37.961778333333335,,320.8,6.7,60,PALOUKIA/PERAMA<<
2020-03-01T19:27:20Z,498ee5e9-c8d1-4311-be95-c835a01b286d,23.571781666666666,37.96177333333333,,149.5,0,70,PERAMA
2020-03-01T09:50:59Z,b7411b85-c043-4f65-8cf8-a1ea4d40872e,23.68408833333333,37.932275,,,0,37,
2020-03-01T08:35:34Z,b503a67d-f32d-4994-a684-c61a2df514a5,23.58340666666667,37.94994666666666,106,102.7,4.4,70,NLRTM
2020-03-01T00:07:02Z,c2ace080-8025-4b40-9c29-c16d72b1b766,23.682216666666665,37.932829999999996,,,0,37,
2020-03-01T00:16:18Z,0026f88e-371d-45f2-ae72-557225333f01,23.555988333333335,37.963791666666665,,71,0,60,PALOUKIA-PERAMA
2020-03-01T18:28:55Z,1b47b82f-cebf-4ea8-91a9-f890ecf30f1c,23.603783333333336,37.956516666666666,,110,0,52,PIREUS 
2020-03-01T05:51:33Z,ed5e8ae2-b24e-4f84-90ce-39c5cca5a163,23.612315000000002,37.957858333333334,,31.3,0,30,
2020-03-01T06:17:05Z,d4189290-a565-4f76-9a88-f7dc2174b186,23.602668333333334,37.949859999999994,,350.9,0,69,NEO MOLO DRAPETSONA
2020-03-01T18:16:45Z,cc0a125c-06a4-4fec-8d96-b343c6819398,23.546988333333335,37.95995833333333,,69.8,6.1,60,SALAMINA  
2020-03-01T16:54:08Z,a384dea1-14a5-4a11-bc1b-6a59f49e42ec,23.569053333333333,37.955666666666666,269,196,0.1,80,PIRAEUS
2020-02-29T22:07:38Z,cf373304-9962-40e5-9872-f76cec9ff501,23.550866666666664,37.95293,,,0,40,SALAMINA
2020-03-01T08:30:19Z,cf373304-9962-40e5-9872-f76cec9ff501,23.55087166666667,37.95294333333333,,,0,40,SALAMINA
2020-03-01T14:04:50Z,bc811245-96e5-4e09-8352-99ad2c6bcee6,23.64043333333333,37.94688333333333,260,142,0,60,SR PR NX HR SC KU KT
2020-03-01T08:41:31Z,63288989-fa11-47b8-a2f0-c3b215b15ead,23.635083333333334,37.94356333333334,217,246,0,69,PIRAEUS
2020-03-01T16:44:54Z,1b47b82f-cebf-4ea8-91a9-f890ecf30f1c,23.60666666666667,37.9596,,306,0.1,52,PIREUS 
2020-03-01T07:57:53Z,63288989-fa11-47b8-a2f0-c3b215b15ead,23.63507,37.94358666666667,216,195,0,69,PIRAEUS
2020-03-01T12:10:35Z,2e107f6c-ffa5-4142-8b47-27d184b0e2cd,23.552428333333335,37.87974,137,85.1,0.2,70,PIRAEUS
2020-03-01T00:11:14Z,85acb58c-b7fc-4b6c-8665-26716e90b456,23.681769999999997,37.932915,249,357,0.1,37,FLOISVOS
2020-03-01T17:59:03Z,15189c25-f797-4451-98f1-f0a894965073,23.60155,37.94998333333333,354,,0,1,M PIRAES      
2020-03-01T05:56:33Z,bc965f0f-935e-443d-ae1a-6c7267b820a4,23.60582,37.95912,222,339.5,0,70,GRPIR
2020-03-01T13:52:41Z,47df59b5-6fcf-468c-aeca-266ec7dc27ae,23.60678,37.95379333333334,116,72.6,0,52,PERAMA
2020-03-01T02:55:47Z,c671bcf6-2fa2-4e2f-b536-1995122de063,23.641433333333335,37.94786666666666,179,61,0,60,SIR TIN MYK
2020-03-01T18:29:39Z,498ee5e9-c8d1-4311-be95-c835a01b286d,23.571773333333333,37.961846666666666,,342.4,0,70,PERAMA
2020-03-01T18:57:55Z,5304e459-384c-47b9-b3e9-be1703964724,23.608251666666668,37.93217166666667,343,357.6,5.4,70,PIRAEUS
2020-03-01T05:54:58Z,cedbd054-208f-4059-85cf-356e66771ff6,23.53015,37.965466666666664,,128,0,60,PALUKIA-PERAMA  
2020-03-01T03:45:54Z,a295a927-6562-4188-885b-31f86cda126d,23.683875,37.92861833333333,,219.7,0,90,AEGEAN SEA
2020-03-01T05:18:50Z,d467aaae-69f0-4c51-a743-7563e6c5839f,23.59668333333333,37.95171666666667,282,315,0.7,52,PIRAEUS
2020-03-01T20:37:35Z,1c46a91b-90ac-4a5e-85bc-461e446ea042,23.682714999999998,37.93092,211,16.9,0,60,ARG/KOS
2020-03-01T19:48:11Z,2861d638-035e-4ff5-ad81-840c0a9691c0,23.529633333333333,37.96508333333334,,,0,71,SALAMINA
2020-03-01T20:14:50Z,770952c6-b74e-4f7f-92be-64d2bbbfd61c,23.639713333333336,37.94043833333333,58,59.9,0,40,PIR-ARGOSARONIKO-PIR
2020-03-01T19:06:44Z,076431cc-5ae5-4a0f-a46c-726b56443ca5,23.683815,37.92875333333333,23,248.2,0,37,PROVA
2020-02-29T22:26:31Z,10807db4-2c77-4a7a-a418-0af8f0d672d8,23.537316666666666,37.85678333333333,43,0,0,70,GRPIR
2020-03-01T14:13:39Z,fb3b899a-5a70-4542-8527-682dffa485c9,23.670383333333334,37.94073,,,1.1,37,
2020-03-01T11:58:55Z,2e107f6c-ffa5-4142-8b47-27d184b0e2cd,23.552934999999998,37.87995,177,328.6,0.1,70,PIRAEUS
